"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"de4b07d2-0308-4e4e-8d9f-27077542381d","682607","LightSensor 1","11/15/2022 5:19 PM","10.85","10.85 lux","100","10.85|True|0","0","964010","False","100","3.06"
"a0941647-a5bb-4202-9fe4-604f69570f28","682607","LightSensor 1","11/15/2022 5:19 PM","10.85","10.85 lux","100","10.85|True|0","0","964010","False","100","3.06"
"6bf0ae9e-e0e3-4f57-89f7-ac69972b5e82","682607","LightSensor 1","11/15/2022 5:04 PM","10.51","10.51 lux","100","10.51|True|0","0","964010","False","100","3.06"
"b7250e8f-eca0-4684-9c39-128dd2c81b27","682607","LightSensor 1","11/15/2022 4:49 PM","10.51","10.51 lux","100","10.51|True|0","0","964010","False","100","3.06"
"68d57cf6-1143-47a5-9346-9e6307feeae7","682607","LightSensor 1","11/15/2022 4:34 PM","10.72","10.72 lux","100","10.72|True|0","0","964010","False","100","3.06"
"f83c3f6d-c5de-4d76-b65e-602ed0b1b5b0","682607","LightSensor 1","11/15/2022 4:19 PM","12.81","12.81 lux","100","12.81|True|0","0","964010","False","100","3.06"
"e9289828-b267-449e-a147-e1758e7c4934","682607","LightSensor 1","11/15/2022 4:04 PM","18.88","18.88 lux","100","18.88|True|0","0","964010","False","100","3.06"
"24a8ea82-d5eb-4695-9406-199110e9b8d2","682607","LightSensor 1","11/15/2022 3:49 PM","45.3","45.3 lux","100","45.3|True|0","0","964010","False","100","3.06"
"c85674fb-177f-48e6-a684-d4d4eed707c5","682607","LightSensor 1","11/15/2022 3:34 PM","50.48","50.48 lux","100","50.48|True|0","0","964010","False","100","3.06"
"0a4ea968-c494-4fd2-b7df-4be3c12e3e57","682607","LightSensor 1","11/15/2022 3:19 PM","36.04","36.04 lux","100","36.04|True|0","0","964010","False","100","3.06"
"eb7b3090-c3ca-4e8b-9e23-8620ca794f29","682607","LightSensor 1","11/15/2022 3:04 PM","107.92","107.92 lux","100","107.92|True|0","0","964010","False","100","3.06"
"56f7c6f4-7b06-45ee-8626-3934bd7e8d7e","682607","LightSensor 1","11/15/2022 2:49 PM","135.92","135.92 lux","100","135.92|True|0","0","964010","False","100","3.05"
"2da42616-ce7e-4d8d-a1ab-45a83182fddf","682607","LightSensor 1","11/15/2022 2:49 PM","136.84","136.84 lux","100","136.84|True|0","0","964010","False","100","3.06"
"9bc20e44-3fa1-4c21-b4ce-808d14db2728","682607","LightSensor 1","11/15/2022 2:19 PM","190.24","190.24 lux","100","190.24|True|0","0","964010","False","100","3.06"
"44c875f7-33b9-4e3b-8ada-883f33d57393","682607","LightSensor 1","11/15/2022 1:49 PM","185.44","185.44 lux","100","185.44|True|0","0","964010","False","100","3.06"
"9a5a95ba-ea4b-4ffa-9239-e4b7d9f18443","682607","LightSensor 1","11/15/2022 1:19 PM","266.64","266.64 lux","100","266.64|True|0","0","964010","False","100","3.06"
"3c5504a8-bfff-4778-9457-4bf4fd80f193","682607","LightSensor 1","11/15/2022 12:49 PM","455.68","455.68 lux","100","455.68|True|0","0","964010","False","100","3.06"
"65ad9da7-60de-41ce-88eb-f9cc4e623adb","682607","LightSensor 1","11/15/2022 12:19 PM","437.12","437.12 lux","100","437.12|True|0","0","964010","False","100","3.06"
"7c379e4e-371f-4040-a201-67f8caefbce0","682607","LightSensor 1","11/15/2022 11:49 AM","603.2","603.2 lux","100","603.2|True|0","0","964010","False","100","3.06"
"dc067671-8995-440c-be32-ce04cf1a287c","682607","LightSensor 1","11/15/2022 11:19 AM","764.48","764.48 lux","100","764.48|True|0","0","964010","False","100","3.06"
"fa1333d2-b6c1-4a75-afe7-6f0aea58a94e","682607","LightSensor 1","11/15/2022 10:49 AM","664.64","664.64 lux","100","664.64|True|0","0","964010","False","100","3.06"
"0c3a4a5b-4351-40b3-ac83-61dd40096960","682607","LightSensor 1","11/15/2022 10:19 AM","362.72","362.72 lux","100","362.72|True|0","0","964010","False","100","3.05"
"05de5044-fa45-4c24-8054-32013d339aaf","682607","LightSensor 1","11/15/2022 9:49 AM","242.88","242.88 lux","100","242.88|True|0","0","964010","False","100","3.06"
"ce0caa0f-b219-46da-9c8c-37df59791b4e","682607","LightSensor 1","11/15/2022 9:19 AM","296.72","296.72 lux","100","296.72|True|0","0","964010","False","100","3.06"
