"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"658d41ba-2566-42c7-b1cb-4e92fb07d947","687589","CO2 Meter - 1","11/18/2022 12:39 AM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 41 ppm","100","0|41|0|48424","0","964010","False","100","3.12"
"f33b3a09-5fc1-47c5-affb-b77b516db9a1","687589","CO2 Meter - 1","11/18/2022 12:39 AM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 41 ppm","100","0|41|0|48424","0","964010","False","100","3.12"
"c3a55e86-d7bf-451e-90bf-155f6becb3ce","687589","CO2 Meter - 1","11/18/2022 12:24 AM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 55 ppm","100","0|55|0|48424","0","964010","False","100","3.11"
"a30026e3-a44a-4a01-9ca7-2cfc9ef209c0","687589","CO2 Meter - 1","11/18/2022 12:24 AM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 55 ppm","100","0|55|0|48424","0","964010","False","100","3.11"
"aa5664b9-d7f4-4644-8c40-7ee094608fda","687589","CO2 Meter - 1","11/18/2022 12:09 AM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 63 ppm","100","0|63|0|48424","0","964010","False","100","3.12"
"29c49a39-46cf-4928-860c-a3908866fddc","687589","CO2 Meter - 1","11/18/2022 12:09 AM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 63 ppm","100","0|63|0|48424","0","964010","False","100","3.12"
"3556c66a-9a5b-45e0-97d4-08fdd3069943","687589","CO2 Meter - 1","11/17/2022 11:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 79 ppm","100","0|79|0|48424","0","964010","False","100","3.11"
"b59eb1ef-0b1a-4a75-81e6-284cf3133a01","687589","CO2 Meter - 1","11/17/2022 11:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 79 ppm","100","0|79|0|48424","0","964010","False","100","3.11"
"b589155b-a7de-432a-80f8-14387828aed7","687589","CO2 Meter - 1","11/17/2022 11:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 88 ppm","100","0|88|0|48424","0","964010","False","100","3.12"
"64079665-cc77-4ac3-be2f-a8296c12d306","687589","CO2 Meter - 1","11/17/2022 11:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 88 ppm","100","0|88|0|48424","0","964010","False","100","3.12"
"f2daf7df-8a8b-40ce-9341-1e6e3e5e6663","687589","CO2 Meter - 1","11/17/2022 11:24 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 106 ppm","100","0|106|0|48424","0","964010","False","100","3.11"
"ea323e7c-9a56-4011-91d6-487a53d0b688","687589","CO2 Meter - 1","11/17/2022 11:24 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 106 ppm","100","0|106|0|48424","0","964010","False","100","3.11"
"4c56f859-e82e-4e99-8496-8e5bd4ab267e","687589","CO2 Meter - 1","11/17/2022 11:09 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 115 ppm","100","0|115|0|48424","0","964010","False","100","3.12"
"25b78861-f59a-429f-a343-d861045a4892","687589","CO2 Meter - 1","11/17/2022 11:09 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 115 ppm","100","0|115|0|48424","0","964010","False","100","3.12"
"7acc4178-96b9-41a7-9217-0275ed53a996","687589","CO2 Meter - 1","11/17/2022 10:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 133 ppm","100","0|133|0|48424","0","964010","False","100","3.11"
"05e37cbf-6ec0-43ee-a636-1f5db7ade1e8","687589","CO2 Meter - 1","11/17/2022 10:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 133 ppm","100","0|133|0|48424","0","964010","False","100","3.11"
"42500071-27a9-46e6-bbca-92ef2dc6cde0","687589","CO2 Meter - 1","11/17/2022 10:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 141 ppm","100","0|141|0|48424","0","964010","False","100","3.12"
"9f8e64b7-149b-432f-808f-b612bef228f7","687589","CO2 Meter - 1","11/17/2022 10:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 141 ppm","100","0|141|0|48424","0","964010","False","100","3.12"
"6d49d85f-4333-4777-8b8e-b6dfa097b026","687589","CO2 Meter - 1","11/17/2022 10:24 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 158 ppm","100","0|158|0|48424","0","964010","False","100","3.11"
"ff464dc0-8b2f-44f8-9eef-f4c7d6721030","687589","CO2 Meter - 1","11/17/2022 10:24 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 158 ppm","100","0|158|0|48424","0","964010","False","100","3.11"
"a6b41aba-9251-4e19-98f0-55c070b6eb8f","687589","CO2 Meter - 1","11/17/2022 10:09 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 167 ppm","100","0|167|0|48424","0","964010","False","100","3.12"
"acac0dc7-63a5-446d-ba47-84989c05ad55","687589","CO2 Meter - 1","11/17/2022 10:09 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 167 ppm","100","0|167|0|48424","0","964010","False","100","3.12"
"fdd83f51-97d1-4c7d-8d3f-778e4b9b4f43","687589","CO2 Meter - 1","11/17/2022 9:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 180 ppm","100","0|180|0|48424","0","964010","False","100","3.11"
"98d16d6b-3828-4261-b091-ad43117fc522","687589","CO2 Meter - 1","11/17/2022 9:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 180 ppm","100","0|180|0|48424","0","964010","False","100","3.11"
"b8a54b06-272b-4cb5-bddd-570e56c64baa","687589","CO2 Meter - 1","11/17/2022 9:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 186 ppm","100","0|186|0|48424","0","964010","False","100","3.12"
